competition,season_label,player_name,innings,total_runs,avg_runs,strike_rate,batting_index
PSL,2024,Haider Ali,6,103,17.17,163.49,2806.61
PSL,2024,Aamer Jamal,8,138,17.25,162.35,2800.59
PSL,2024,Jahandad Khan,6,88,14.67,187.23,2746.1
PSL,2024,Fakhar Zaman,8,157,19.63,115.44,2265.53
PSL,2024,Khawaja Nafay,8,141,17.63,125.89,2218.86
PSL,2024,Akeal Hosein,6,90,15.0,138.46,2076.92
PSL,2024,Imad Wasim,8,126,15.75,131.25,2067.19
PSL,2024,Mohammad Haris,10,142,14.2,132.71,1884.49
PSL,2024,Haseebullah Khan,6,78,13.0,136.84,1778.95
PSL,2024,Asif Ali,6,72,12.0,141.18,1694.12
PSL,2024,Naseem Shah,6,62,10.33,163.16,1685.96
PSL,2024,Tom Kohler-Cadmore,8,121,15.13,110.0,1663.75
PSL,2024,Faheem Ashraf,8,100,12.5,129.87,1623.38
PSL,2024,Shan Masood,9,131,14.56,109.17,1588.98
PSL,2024,Sikandar Raza,8,91,11.38,133.82,1522.24
PSL,2024,Rilee Rossouw,8,110,13.75,100.92,1387.61
PSL,2024,Alex Hales,9,101,11.22,120.24,1349.34
PSL,2024,Khushdil Shah,8,67,8.38,128.85,1079.09
PSL,2024,Luke Wood,6,41,6.83,136.67,933.89
PSL,2024,Hasan Ali,6,37,6.17,137.04,845.06
SA20,2025,Ryan Rickelton,8,336,42.0,178.72,7506.38
SA20,2025,Lhuan-dre Pretorius,12,397,33.08,166.81,5518.52
SA20,2025,Dewald Brevis,10,291,29.1,184.18,5359.56
SA20,2025,Joe Root,8,279,34.88,140.2,4889.51
SA20,2025,Rubin Hermann,9,333,37.0,128.08,4738.85
SA20,2025,Rassie van der Dussen,11,393,35.73,129.7,4633.93
SA20,2025,Kane Williamson,7,233,33.29,118.88,3956.92
SA20,2025,Faf du Plessis,10,286,28.6,138.16,3951.5
SA20,2025,Jonny Bairstow,8,232,29.0,134.1,3889.02
SA20,2025,Rahmanullah Gurbaz,6,151,25.17,146.6,3689.48
SA20,2025,Delano Potgieter,8,172,21.5,168.63,3625.49
SA20,2025,Donovan Ferreira,7,163,23.29,155.24,3614.83
SA20,2025,David Miller,9,234,26.0,136.84,3557.89
SA20,2025,Aiden Markram,13,340,26.15,130.27,3407.01
SA20,2025,Reeza Hendricks,8,212,26.5,128.48,3404.85
SA20,2025,Will Jacks,9,225,25.0,135.54,3388.55
SA20,2025,Heinrich Klaasen,8,198,24.75,134.69,3333.67
SA20,2025,Devon Conway,10,272,27.2,113.81,3095.56
SA20,2025,George Linde,8,161,20.13,153.33,3085.83
SA20,2025,Tristan Stubbs,11,232,21.09,118.97,2509.28
SA20,2025,Kyle Verreynne,9,172,19.11,127.41,2434.9
SA20,2025,David Bedingham,12,241,20.08,119.9,2408.0
SA20,2025,Quinton de Kock,8,159,19.88,115.22,2289.95
SA20,2025,Wiaan Mulder,8,145,18.13,118.85,2154.2
SA20,2025,James Neesham,6,95,15.83,135.71,2148.81
SA20,2025,Marco Jansen,12,204,17.0,125.15,2127.61
SA20,2025,Jordan Hermann,10,187,18.7,107.47,2009.71
SA20,2025,Dinesh Karthik,8,130,16.25,121.5,1974.3
SA20,2025,Marques Ackerman,8,121,15.13,123.47,1867.47
SA20,2025,Leus du Plooy,7,117,16.71,110.38,1844.88
SA20,2025,Matthew Breetzke,7,117,16.71,103.54,1730.59
SA20,2025,Tom Abell,12,176,14.67,106.67,1564.44
SA20,2025,Mitchell Van Buuren,8,131,16.38,90.97,1489.67
SA20,2025,Zak Crawley,8,88,11.0,110.0,1210.0
SA20,2025,Liam Dawson,6,47,7.83,146.88,1150.52
SA20,2025,Colin Ingram,6,64,10.67,100.0,1066.67
SA20,2025,Wihan Lubbe,8,75,9.38,100.0,937.5
SA20,2025,Senuran Muthusamy,6,42,7.0,95.45,668.18
SA20,2025,Rilee Rossouw,6,32,5.33,94.12,501.96
